id	donor	stimulus	time
A1_RPMI_4hr_R1	A	RPMI	4hrs
A2_LPS_4hr_R1	A	LPS	4hrs
A3_Saureus_4hr_R1	A	S_Aureus	4hrs
A4_PolyIC_4hr_R1	A	PolyIC	4hrs
A5_Calbicans_4hr_R1	A	C_Albicans	4hrs
A7_RPMI_24hr_R1	A	RPMI	24hrs
A8_LPS_24hr_R1	A	LPS	24hrs
A9_Saureus_24hr_R1	A	S_Aureus	24hrs
A10_PolyIC_24hr_R1	A	PolyIC	24hrs
A11_Calbicans_24hr_R1	A	C_Albicans	24hrs
A12_RPMI_repl_24hr_R1	A	RPMI	24hrs
B1_RPMI_4hr_R1	B	RPMI	4hrs
B2_LPS_4hr_R1	B	LPS	4hrs
B3_Saureus_4hr_R1	B	S_Aureus	4hrs
B4_PolyIC_4hr_R1	B	PolyIC	4hrs
B5_Calbicans_4hr_R1	B	C_Albicans	4hrs
B6_RPMI_repl_4hr_R1	B	RPMI	4hrs
B7_RPMI_24hr_R1	B	RPMI	24hrs
B8_LPS_24hr_R1	B	LPS	24hrs
B9_Saureus_24hr_R1	B	S_Aureus	24hrs
B10_PolyIC_24hr_R1	B	PolyIC	24hrs
B11_Calbicans_24hr_R1	B	C_Albicans	24hrs
B12_RPMI_repl_24hr_R1	B	RPMI	24hrs
C1_RPMI_4hr_R1	C	RPMI	4hrs
C2_LPS_4hr_R1	C	LPS	4hrs
C3_Saureus_4hr_R1	C	S_Aureus	4hrs
C4_PolyIC_4hr_R1	C	PolyIC	4hrs
C6_RPMI_repl_4hr_R1	C	RPMI	4hrs
C7_RPMI_24hr_R1	C	RPMI	24hrs
C8_LPS_24hr_R1	C	LPS	24hrs
C9_Saureus_24hr_R1	C	S_Aureus	24hrs
C10_PolyIC_24hr_R1	C	PolyIC	24hrs
C11_Calbicans_24hr_R1	C	C_Albicans	24hrs
C12_RPMI_repl_24hr_R1	C	RPMI	24hrs
D2_LPS_4hr_R1	D	LPS	4hrs
D3_Saureus_4hr_R1	D	S_Aureus	4hrs
D4_PolyIC_4hr_R1	D	PolyIC	4hrs
D5_Calbicans_4hr_R1	D	C_Albicans	4hrs
D6_RPMI_repl_4hr_R1	D	RPMI	4hrs
D9_Saureus_24hr_R1	D	S_Aureus	24hrs
D10_PolyIC_24hr_R1	D	PolyIC	24hrs
D11_Calbicans_24hr_R1	D	C_Albicans	24hrs
D12_RPMI_repl_24hr_R1	D	RPMI	24hrs
E1_RPMI_4hr_R1	E	RPMI	4hrs
E2_LPS_4hr_R1	E	LPS	4hrs
E3_Saureus_4hr_R1	E	S_Aureus	4hrs
E4_PolyIC_4hr_R1	E	PolyIC	4hrs
E5_Calbicans_4hr_R1	E	C_Albicans	4hrs
E6_RPMI_repl_4hr_R1	E	RPMI	4hrs
E7_RPMI_24hr_R1	E	RPMI	24hrs
E8_LPS_24hr_R1	E	LPS	24hrs
E9_Saureus_24hr_R1	E	S_Aureus	24hrs
