TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0071706	"tumor necrosis factor superfamily cytokine production"	NaN	1.7853298350107671	0.00020223178743097498	0.9656996164363374	0	null
GO:0007159	"leukocyte cell-cell adhesion"	NaN	3.2657609167176105	0.006130151056501432	0.997009005280596	0	null
GO:0070371	"ERK1 and ERK2 cascade"	NaN	3.2755416884013098	0.006269850646503093	0.7525965651068658	0.20806862	null
GO:0038061	"NIK/NF-kappaB signaling"	NaN	3.343802333161655	0.007337554655801498	0.7505598575443502	0.32791212	null
GO:0097696	"receptor signaling pathway via STAT"	NaN	3.5046067706419537	0.010627147382269168	0.7381711724864238	0.2448417	null
GO:0070555	"response to interleukin-1"	NaN	3.589055531052344	0.012908907352296287	0.8424404694107783	0.18901494	null
GO:0097191	"extrinsic apoptotic signaling pathway"	NaN	3.62283547952152	0.013953328096594417	0.7243250428695481	0.48543485	null
GO:0070661	"leukocyte proliferation"	NaN	3.729083757043612	0.017821676267354678	0.9825497120387724	0.00533226	null
GO:0050792	"regulation of viral process"	NaN	3.7975445143617264	0.020865131620962284	0.8333050640942505	0	null
GO:0060759	"regulation of response to cytokine stimulus"	NaN	3.804548308388056	0.021204402053823457	0.6735199102357106	0.14202764	null
GO:0002832	"negative regulation of response to biotic stimulus"	NaN	3.8273692730538253	0.02234860821955134	0.633647902697642	0.53674363	null
GO:0009612	"response to mechanical stimulus"	NaN	3.8424220033576497	0.02313691304884643	0.8460217233253571	0	null
GO:0050900	"leukocyte migration"	NaN	3.884682104206025	0.025501827536731678	0.8035637596868143	0.64525546	null
GO:0071216	"cellular response to biotic stimulus"	NaN	3.8985057855343586	0.02632672035388434	0.8454457142128297	0.19712293	null
GO:0007249	"I-kappaB kinase/NF-kappaB signaling"	NaN	3.922932956555212	0.027850111121045303	0.7318719580420741	0.35552674	null
GO:0002685	"regulation of leukocyte migration"	NaN	3.971554153446061	0.03114968238965595	0.6146702121318344	0.15766677	null
GO:0002460	"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"	NaN	3.9757533890362873	0.031452364834659546	0.7513259964565067	0.65376061	null
GO:0050730	"regulation of peptidyl-tyrosine phosphorylation"	NaN	3.9946690218255294	0.03285268691539048	0.7902907392986439	0.15819151	null
GO:2000116	"regulation of cysteine-type endopeptidase activity"	NaN	3.998084887936556	0.03311212901110785	0.7493857160144712	0.62245896	null
GO:0043123	"positive regulation of I-kappaB kinase/NF-kappaB signaling"	NaN	4.0135955235372895	0.03431620642969359	0.5840822130352943	0.60320716	null
GO:0070663	"regulation of leukocyte proliferation"	NaN	4.01556930642988	0.03447253692326687	0.8016932144783763	0.14188836	null
GO:0001818	"negative regulation of cytokine production"	NaN	4.0423785981398765	0.036667816194721536	0.7236311642550548	0.24534162	null
GO:0042110	"T cell activation"	NaN	4.070370390367003	0.03910923283903627	0.8062933215494468	0.34877932	null
GO:0050867	"positive regulation of cell activation"	NaN	4.086680093734625	0.04060601416048263	0.6343579964512995	0.6618955	null
GO:0051091	"positive regulation of DNA-binding transcription factor activity"	NaN	4.106700732362354	0.04252189425193398	0.7463124075702645	0.63278913	null
GO:0050727	"regulation of inflammatory response"	NaN	4.133283365860989	0.04520612208839445	0.6232675587359451	0.56148248	null
GO:2001233	"regulation of apoptotic signaling pathway"	NaN	4.184946823051894	0.050917174374890906	0.6465131493892116	0.53498514	null
GO:0002521	"leukocyte differentiation"	NaN	4.225231722214646	0.05586653127780687	0.9638437065401476	0.0060631	null
GO:0022407	"regulation of cell-cell adhesion"	NaN	4.271516344511632	0.06214968664716727	0.7906017839638269	0.16475885	null
GO:0051090	"regulation of DNA-binding transcription factor activity"	NaN	4.304081029459922	0.0669892795865105	0.7504515177416856	0.24238799	null
GO:0051235	"maintenance of location"	NaN	4.373353433957022	0.07857436701450533	0.9960126051228183	0	null
GO:0051701	"biological process involved in interaction with host"	NaN	4.502659227954569	0.1058257656069721	0.8997783699968849	0	null
GO:0044403	"biological process involved in symbiotic interaction"	NaN	4.565351873426987	0.12226042451645314	0.9044315893262814	0.66803464	null
GO:0019058	"viral life cycle"	NaN	4.593894981695562	0.13056589776012328	0.9836252037246227	0	null
GO:0002831	"regulation of response to biotic stimulus"	NaN	4.611425889674207	0.1359443319751872	0.6371107201574892	0.60506859	null
GO:0071396	"cellular response to lipid"	NaN	4.635554112905159	0.14371096394313668	0.8185770448837154	0.57545749	null
GO:0140546	"defense response to symbiont"	NaN	4.673444851864035	0.15681278977686383	0.77451559415153	0.68799039	null
GO:0016032	"viral process"	NaN	4.680126929448146	0.15924422787903558	1	0	null
GO:0043269	"regulation of monoatomic ion transport"	NaN	4.934730686188217	0.28620121956411604	0.7832520224421258	0.17626835	null
GO:0006816	"calcium ion transport"	NaN	4.955504952265677	0.3002243974557112	0.9960126051228183	0.20954733	null
GO:0055080	"monoatomic cation homeostasis"	NaN	5.074926097123956	0.39524672810255496	1	0	null
GO:0042330	"taxis"	NaN	5.229118455328952	0.5637177812831288	0.8033489858322924	0.57058057	null
