	GO:0001818	GO:0001819	GO:0002221	GO:0002224	GO:0002237	GO:0002253	GO:0002263	GO:0002456	GO:0002460	GO:0002521	GO:0002573	GO:0002683	GO:0002685	GO:0002687	GO:0002688	GO:0002697	GO:0002700	GO:0002702	GO:0002764	GO:0002768	GO:0002819	GO:0002821	GO:0002831	GO:0002832	GO:0002833	GO:0006816	GO:0007159	GO:0007249	GO:0009612	GO:0009615	GO:0010952	GO:0016032	GO:0019058	GO:0019079	GO:0019221	GO:0022407	GO:0022409	GO:0030595	GO:0031348	GO:0031349	GO:0032102	GO:0032103	GO:0032635	GO:0034341	GO:0034612	GO:0038061	GO:0042098	GO:0042110	GO:0042129	GO:0042330	GO:0042742	GO:0043123	GO:0043269	GO:0043270	GO:0044403	GO:0044409	GO:0045088	GO:0045089	GO:0045619	GO:0050727	GO:0050729	GO:0050730	GO:0050777	GO:0050778	GO:0050792	GO:0050863	GO:0050867	GO:0050900	GO:0051090	GO:0051091	GO:0051092	GO:0051235	GO:0051249	GO:0051345	GO:0051701	GO:0051924	GO:0052547	GO:0055080	GO:0060326	GO:0060759	GO:0070371	GO:0070555	GO:0070661	GO:0070663	GO:0070665	GO:0071216	GO:0071219	GO:0071396	GO:0071621	GO:0071674	GO:0071706	GO:0097191	GO:0097193	GO:0097529	GO:0097530	GO:0097696	GO:0140546	GO:1902105	GO:1903039	GO:1903131	GO:1990266	GO:2000116	GO:2001056	GO:2001233	GO:2001235	GO:2001236
GO:0001818	1	0.8996521556238714	0.14902720814396278	0.14714135053204042	-0	0.15749817073743494	-0	-0	-0	-0	-0	0.4776967366452736	0.14599328706129053	0.14206171502193266	0.14082228528207044	0.1508168597021695	0.22973280576307537	0.2252579937574837	0.15438019448414117	0.1470173280206942	0.14253318051414804	0.13859589701066125	0.16081666876304193	0.44345848808846605	0.15502096007787594	-0	-0	0.14497779798992752	-0	-0	0.2217862380648114	-0	-0	-0	0.16181900628143642	0.15258678647830817	0.14707204147422132	-0	0.4600197804476468	0.1568529888484592	0.4730774161234	0.15909866436472164	-0	-0	-0	0.13388396926323992	-0	-0	0.643274779131761	-0	-0	0.14688287990326768	0.16951265796665022	0.14645029568995355	-0	-0	0.15774530165191236	0.15368602386925212	0.6377886045314752	0.1494758359400516	0.13933731960652054	0.22530853394865658	0.44679249872099236	0.16094616295370343	0.14242294883433929	0.6698337793698887	0.6618954961444876	-0	0.245341621376432	0.2382271924154274	0.22750651489459367	-0	0.6822840177135042	0.15671617081846984	-0	0.14839800977488474	0.24934665933153027	-0	-0	0.14256328055363734	0.13268693543189403	-0	-0	0.14692491133167188	0.1408873436921803	-0	-0	-0	-0	-0	-0	0.13900951686901508	0.1439963957567197	-0	-0	0.13679076170619467	-0	0.6565524499346365	0.14514001228088	-0	-0	0.2254198311855643	0.21877611539786562	0.15062357640074198	0.141290573434491	0.1416283139714714
GO:0001819	0.8996521556238714	1	0.505334057019543	0.49867877749332223	-0	0.5353144608869211	-0	-0	-0	-0	-0	0.16065023243293244	0.1518935177200114	0.48078703480527657	0.1463041051811218	0.1571218336352064	0.23885795162101242	0.7172975658566803	0.16099315386246488	0.1530023175864871	0.1481516675519062	0.46860837848524617	0.16800538129829382	0.1486803478731486	0.5265325414824278	-0	-0	0.15079459818841415	-0	-0	0.5449911927926192	-0	-0	-0	0.16909963812818135	0.15904378198484698	0.49843431501680574	-0	0.15446112531994408	0.5330260735567222	0.15903101364702724	0.5409947729629614	-0	-0	-0	0.1388294326529296	-0	-0	0.6689548848339304	-0	-0	0.4977671641707153	0.17751918727119131	0.49624175261762715	-0	-0	0.16465614816364746	0.5218050855291857	0.6630239603007939	0.15566688267320128	0.4712117274239659	0.23444589898531965	0.14984272244357116	0.5475580149073775	0.1480325778187773	0.6977241478575847	0.8060235531713354	-0	0.25577704017913583	0.24805405205616815	0.23645221466199495	-0	0.7112432336489345	0.16377341990822336	-0	0.15449827290466017	0.26058639195333944	-0	-0	0.14818418764772398	0.13754275737290708	-0	-0	0.15290222584180954	0.4766577573090188	-0	-0	-0	-0	-0	-0	0.14434843774844516	0.14973315275136723	-0	-0	0.14195744455438705	-0	0.6833256704894778	0.49162355967598503	-0	-0	0.23456640898358144	0.5373035405145036	0.15691206316211695	0.4780752753312954	0.14717430206640703
GO:0002221	0.14902720814396278	0.505334057019543	1	0.9839145047035897	0.20699295921779223	0.8979707413571227	0.6460479424846984	0.5783509335490997	0.6578069897891129	0.006414745269648117	0.00602074036210851	0.7752827187073444	0.7342484684143661	0.7733691319926501	0.7079845226364403	0.7587650058259927	0.7220044248135619	0.7663573239341513	0.8268281138356298	0.9165734041639888	0.7627425993910084	0.789150940727808	0.5980702380230626	0.8160651321181073	0.8852731194398372	-0	0.005602352217813451	0.28927650675766836	0.20315941453713104	0.2320875323350848	0.47430541856592207	-0	-0	-0	0.3232625872012236	0.16719853005059535	0.483880036213846	0.6267132847879349	0.8045551528051945	0.8510989613528236	0.7612209381614339	0.7941325891982176	-0	0.6255783117492241	0.2070250181770561	0.2669327280500018	0.6107980250105202	0.6669973387197975	0.7255393328513348	0.253341981040402	0.22433778694923978	0.6854107169117696	0.17153527064214258	0.48181338450814803	-0	-0	0.9010035327792403	0.9502404469210043	0.7192893747040148	0.810649265984828	0.8393412938778847	0.1604392456751858	0.7711997819043085	0.8773380620811507	0.14384803480751557	0.7558111554639122	0.48847891745880107	0.6491969240809056	0.16803120689446935	0.16310763650903326	0.1556941569075043	-0	0.7700106075083445	0.1585017802396203	-0	0.14994582679715646	0.16395792608129356	-0	0.2482957631997937	0.5295067566613886	0.264523895173361	0.196062430196325	0.005967332028632939	0.16093041210293535	0.4633304455927418	0.2331611885715833	0.22904721482403273	0.26084629384679575	0.6018711009144051	0.6135708121443753	-0	0.27725162653181684	0.2872984867606177	0.6244862047488627	0.6101784835292859	0.2727838535642059	0.23052497250115594	0.740669990817354	0.4774586596649557	0.006301964974609405	0.6046529011094511	0.14806279924542337	0.4678037341816112	0.5597611921936921	0.6590558950230551	0.5259995639580808
GO:0002224	0.14714135053204042	0.49867877749332223	0.9839145047035897	1	0.2044000482294913	0.8858390017483773	0.6380938485620864	0.57196822879212	0.649562555236287	0.006331356357992989	0.005947221940022395	0.7650362676280568	0.7250515302573826	0.7639424419898393	0.6994299302700416	0.7489477489176604	0.7131098005327302	0.7570997715014336	0.8158781065849727	0.9050123932345348	0.7534146547861605	0.7797660227254457	0.5898204080570074	0.8060509024595818	0.8735005645609819	-0	0.005538642471880417	0.28567827420985775	0.20066107689108595	0.22883275678830295	0.4684375999643516	-0	-0	-0	0.31877575755659504	0.16500991317360744	0.47777444855891077	0.6192254013817633	0.7943143493845053	0.8396474493051139	0.7512573757342941	0.783294978832112	-0	0.6181173633498239	0.20443130898128758	0.26386593827505656	0.603683460676132	0.6585224097084771	0.7165579415460896	0.2494687416532676	0.22129532115704498	0.6767733163111748	0.16904150646422644	0.4757595131585118	-0	-0	0.888811768802072	0.9377124851536294	0.7104611109646128	0.8002537390837303	0.8293062150138713	0.15842294201403967	0.7616651295310548	0.865226269605713	0.14209020561935548	0.7460696957024523	0.48225746722319035	0.6411655831023509	0.16582088046509819	0.16102414114127336	0.1537946503537696	-0	0.7599021308250127	0.15629995449446216	-0	0.14803679720975413	0.16167814922260365	-0	0.2450208658074293	0.5230298005861576	0.26151189353234255	0.19373459303411977	0.005895104321196942	0.1589018222253057	0.45772943331503213	0.23027103518625217	0.22625754119747793	0.25723436672413436	0.5949618019634609	0.6063918860462459	-0	0.2739446149186252	0.28374899219273025	0.6170511287960273	0.6030782608039496	0.2695819494696627	0.227313572616217	0.731312506818532	0.4715130507580574	0.006221464078416969	0.5976799560766395	0.146201118332396	0.4620947146144937	0.5525279986263899	0.6510660883871361	0.5196076062144294
GO:0002237	-0	-0	0.20699295921779223	0.2044000482294913	1	-0	0.1993865427558847	0.17886355335042092	0.20294275716107144	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.214349251489492	0.20422950315624402	-0	-0	-0	-0	-0	-0	-0	0.20142450034443002	0.4701461161150804	0.6550354819575132	-0	-0	-0	-0	0.6116171857039023	-0	-0	0.45687943131973263	-0	-0	-0	-0	-0	0.5577816632064316	0.5525255344613993	0.18615318030824313	-0	-0	-0	0.5834355947459188	0.8737476355412945	-0	-0	-0	0.6128092690504652	0.5818163513012798	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.6068816159076696	-0	-0	-0	0.5039766650525601	-0	0.18450399912391902	0.5238248128452963	-0	-0	-0	0.5721712269780321	0.7853401867980634	0.6101808401271336	0.43910278389206864	-0	-0	0.19321169755037565	0.2000744798617804	-0	-0	0.1901568058795099	0.6507237808420102	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0002253	0.15749817073743494	0.5353144608869211	0.8979707413571227	0.8858390017483773	-0	1	0.6817084849402206	0.6067652106305172	0.6948146788826476	-0	-0	0.8214524069630524	0.7755300283261665	0.8156029622515741	0.7462885997611589	0.8029322849570016	0.7618832850098884	0.8078082701872277	0.8761753997415253	0.8315646827736636	0.8045433858055727	0.8311285259659612	0.6353635165253417	0.5604489544821417	0.7671904313595332	-0	-0	0.15462775520315092	-0	-0	0.5006212631427045	-0	-0	-0	0.17393481736303287	0.16331373180306027	0.5112997701866954	0.6602159543415521	0.5828072617402269	0.7769135433431044	0.6005130970188386	0.788854458078552	-0	0.6589565136215196	-0	0.14207188089867484	0.6425775707075755	0.7050762650367606	0.7658205328313639	-0	-0	0.7241971399116335	0.18285544215275906	0.5089928212550653	-0	-0	0.8966651915596273	0.9280313612541055	0.7588606561270024	0.5874762651527493	0.6846204140882778	0.15633897671509284	0.8139586522644904	0.9320927010927428	0.1517248821053178	0.7996252914452381	0.5164373897391306	0.6852156393544658	0.16417525271667036	0.15908846473931335	0.15146240220957707	-0	0.8155360641884745	0.16846054281009204	-0	0.15852454877586314	0.1742700180299475	-0	-0	0.5585319856929893	0.14072469315726005	-0	-0	0.15684468299614332	0.4884103351134991	-0	-0	-0	0.6327050603677787	0.6456471227186311	-0	0.14785706757080844	0.15351186026752967	0.6577448700484371	0.641891919338972	0.14534943719327167	-0	0.7826974464228913	0.5041354092305007	-0	0.6357799137509493	0.15642140461532453	0.49338360413773413	0.5922999192821904	0.6948390387928784	0.5546311733033742
GO:0002263	-0	-0	0.6460479424846984	0.6380938485620864	0.1993865427558847	0.6817084849402206	1	0.7963351169181149	0.6697455732818517	0.006170346647425846	0.005804937489474116	-0	-0	-0	-0	-0	-0	-0	0.21050084077810732	0.20073292925465192	-0	-0	-0	-0	-0	-0	0.005415033435163392	0.1980225147128376	0.19582714325755804	0.22256741972655072	-0	-0	-0	-0	0.22034270606911177	-0	-0	0.6047223362174424	-0	-0	-0	-0	0.34056164572473785	0.6380813697872135	0.19941628868147834	0.1832437679299444	0.7877584087366781	0.8575390738678855	-0	0.24204078524920936	0.21543064060609535	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.6256294682414094	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.20966638888026895	-0	0.1816455131383761	0.1892248682107493	0.00575527340527554	-0	-0	0.19735125653086696	0.19399362285196453	0.21983494711663232	0.5815607407873138	0.5924769922390997	0.34056164572473785	0.19007932147753695	0.19671756410032873	0.602648548962784	0.5893133011725663	0.18712192149597742	0.22113002458762956	-0	-0	0.006065926445397682	0.5841575580078332	-0	-0	-0	-0	-0
GO:0002456	-0	-0	0.5783509335490997	0.57196822879212	0.17886355335042092	0.6067652106305172	0.7963351169181149	1	0.8093284645397175	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.18775657541233182	0.17994628296884954	-0	-0	-0	-0	-0	-0	-0	0.1777651009486192	0.1759939127741453	0.1972973847449588	-0	-0	-0	-0	0.19554718846710772	-0	-0	0.5450087967667878	-0	-0	-0	-0	-0	0.5751730334412275	0.17888749052244696	0.16576375632794638	0.5329327950734599	0.5752207073561472	-0	0.21244929894714068	0.1916687152014813	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.5619330430884693	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.18709241956065445	-0	0.16445479071965488	0.1706429908506485	-0	-0	-0	0.17722396786729552	0.17451157461156327	0.1951471737045694	0.526124138937069	0.5350424669542154	-0	0.17133756124122076	0.17671277370572802	0.5433237719757786	0.5324610838663537	0.1689309150939934	0.1961670314225106	-0	-0	-0	0.5282485710628109	-0	-0	-0	-0	-0
GO:0002460	-0	-0	0.6578069897891129	0.649562555236287	0.20294275716107144	0.6948146788826476	0.6697455732818517	0.8093284645397175	1	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.21446851417257604	0.20433776768418702	-0	-0	-0	-0	-0	-0	-0	0.2015298105966659	0.1992564297617443	0.22700780775466003	-0	-0	-0	-0	0.22469390059775682	-0	-0	0.6150131403190858	-0	-0	-0	-0	-0	0.6489205598563985	0.20297357371482777	0.1862431238052279	0.5996793095209485	0.6537606066686276	-0	0.2473013649411689	0.21958816630511607	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.6366506273902419	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.2136023738159861	-0	0.1845923556347045	0.19242492791717153	-0	-0	-0	0.20083460546486143	0.1973584417819972	0.22416591383280576	0.5910721414718358	0.6023518452757355	-0	0.19330859305691375	0.20017838282517939	0.612868296731606	0.5990821074705622	0.19025066081358277	0.22551267889220658	-0	-0	-0	0.5937547908783016	-0	-0	-0	-0	-0
GO:0002521	-0	-0	0.006414745269648117	0.006331356357992989	-0	-0	0.006170346647425846	-0	-0	1	0.8546506584761319	-0	-0	-0	-0	-0	-0	-0	0.006651761794400592	0.006325874369551886	-0	-0	-0	-0	-0	-0	0.005686676946355544	0.006235760097707882	-0	-0	-0	-0	-0	-0	0.006981916373555802	-0	-0	0.005982758833625753	-0	-0	-0	-0	-0	-0	-0	0.005746782384447228	0.005828484017846047	0.006373807999069835	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.0062009159161627875	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.006623852613113196	-0	0.0056941411339368345	-0	0.0060630956605772935	-0	-0	0.006213463460684835	0.006102060354069363	0.006964838689539765	0.005742005024020115	0.005855353150078191	-0	0.0059724493137208986	0.00619242224212179	0.0059611631328109526	0.005822480990957334	0.005874709726380155	-0	-0	-0	0.8952479712380028	0.005768949349645171	-0	-0	-0	-0	-0
